word,OS03
"Volume",1
"effect",2
"of",8
"organic",4
"solvent",2
"on",2
"electrochemical",2
"Seebeck",2
"coefficient",2
"Fe",2
"CN",4
"6",4
"4Fe",2
"3",2
"in",5
"water",3
"A",1
"thermocell",2
"with",2
"use",1
"the",8
"E",1
"and",2
"T",1
"are",1
"redox",2
"potential",1
"temperature",1
"respectively",1
"is",3
"a",2
"promising",1
"energyharvesting",1
"device",1
"key",1
"parameter",1
"that",2
"governs",1
"thermal",1
"efficiency",1
"Here",1
"we",1
"systematically",1
"investigated",1
"variation",1
"couple",1
"by",1
"adding",1
"9",1
"molar",2
"ratio",1
"We",1
"found",1
"for",1
"11",1
"solvents",1
"well",1
"scale",1
"to",1
"volume",2
"V",2
"The",1
"empirical",1
"understood",1
"terms",1
"replacement",1
"molecules",2
"depending",1
