word,TB03
"In",2
"situ",2
"IR",2
"spectroscopy",2
"during",1
"oxidation",4
"process",3
"of",9
"cobalt",1
"Prussian",2
"blue",2
"analogues",2
"Cobalt",1
"CoPBA",1
"Na",2
"x",1
"Co",2
"Fe",6
"CN",4
"6",3
"y",3
"consisting",1
"cyanobridged",1
"transition",1
"metal",1
"networkFeCNCoNCFe",1
"are",2
"promising",1
"cathode",1
"materials",1
"for",1
"Naion",1
"secondary",1
"batteries",1
"the",8
"oxidization",2
"andor",1
"compensated",1
"by",2
"deintercalation",1
"Here",1
"we",1
"investigated",1
"three",1
"CoPBAs",2
"means",1
"in",2
"infrared",1
"absorption",1
"With",1
"use",1
"an",1
"empirical",1
"rule",1
"frequencies",1
"stretching",1
"mode",1
"ferrocyanide",1
"II",1
"4",1
"and",3
"ferricyanide",1
"III",1
"3",1
"processes",2
"were",1
"determined",1
"against",1
"concentration",2
"temperature",1
"T",1
"We",1
"will",1
"discuss",1
"interrelation",1
"between",1
